ikey,dG_hyd_meta37
AGUIVNYEYSCPNI-UHFFFAOYSA-N,-9.669798047327102
AGVKXDPPPSLISR-UHFFFAOYSA-N,-0.060957992858648335
AGYUOJIYYGGHKV-UHFFFAOYSA-N,-6.262498364559999
AHBGIHFKTBTQJP-UHFFFAOYSA-N,-1.7942014162443776
AHFMSNDOYCFEPH-UHFFFAOYSA-N,1.5968773280976074
AHHWIHXENZJRFG-UHFFFAOYSA-N,-4.191155143259266
AHJKRLASYNVKDZ-UHFFFAOYSA-N,-4.987826179972938
AHTPATJNIAFOLR-UHFFFAOYSA-N,-16.525652764039453
AHZUOPSGLWYCNF-UHFFFAOYSA-N,-1.398210815985035
AIFARXRIYKCEEV-UHFFFAOYSA-N,-4.555742701247011
AIGRXSNSLVJMEA-UHFFFAOYSA-N,-6.606311629320885
AIJULSRZWUXGPQ-UHFFFAOYSA-N,-8.196589243094124
AIKKULXCBHRFOS-UHFFFAOYSA-N,-11.579930317875084
AILKHAQXUAOOFU-UHFFFAOYSA-N,-3.8555753406224245
AIQOKYGLKGGWOI-UHFFFAOYSA-N,-3.763137178890763
AITNMTXHTIIIBB-UHFFFAOYSA-N,-1.5990582711334298
AIURIRUDHVDRFQ-UHFFFAOYSA-N,-1.9145358203658658
AJDIFHIHSYVDGP-UHFFFAOYSA-N,3.104361807979785
AJDIZQLSFPQPEY-UHFFFAOYSA-N,0.34282052297715093
AJDONJVWDSZZQF-UHFFFAOYSA-N,-0.7584542529829512
AJKLKINFZLWHQE-UHFFFAOYSA-N,-1.441728635359965
AJUXFTIOMRYFRL-UHFFFAOYSA-N,-2.8103845007579498
AKCRQHGQIJBRMN-UHFFFAOYSA-N,-5.105206582698081
AKEJUJNQAAGONA-UHFFFAOYSA-N,-0.060957992858648335
AKGGYBADQZYZPD-UHFFFAOYSA-N,-5.520502367436055
AKNQMEBLVAMSNZ-UHFFFAOYSA-N,-8.134473431967617
AKNUHUCEWALCOI-UHFFFAOYSA-N,-11.579930317875084
ALDJIKXAHSDLLB-UHFFFAOYSA-N,-2.745842581416114
ALFHIHDQSYXSGP-UHFFFAOYSA-N,-2.5999868333388902
ALHUZKCOMYUFRB-UHFFFAOYSA-N,-2.6993855010428884
ALIFPGGMJDWMJH-UHFFFAOYSA-N,-7.78574791715884
ALKYHXVLJMQRLQ-UHFFFAOYSA-N,-10.04454959560308
ALLIZEAXNXSFGD-UHFFFAOYSA-N,-2.4529964376746802
ALLOLPOYFRLCCX-UHFFFAOYSA-N,-11.579930317875084
ALQSHHUCVQOPAS-UHFFFAOYSA-N,-11.425320238104398
ALRLPDGCPYIVHP-UHFFFAOYSA-N,-8.333467070763216
ALSTYHKOOCGGFT-UHFFFAOYSA-N,-2.441787493176846
ALVPFGSHPUPROW-UHFFFAOYSA-N,-1.1253278202472043
ALVZNPYWJMLXKV-UHFFFAOYSA-N,-0.060957992858648335
ALYNCZNDIQEVRV-UHFFFAOYSA-N,-11.38896601246836
AMBJXYFIMKHOQE-UHFFFAOYSA-N,-8.148590747299892
AMCBMCWLCDERHY-UHFFFAOYSA-N,-2.7250430025713728
AMEKQAFGQBKLKX-UHFFFAOYSA-N,-12.960700960376403
AMFGTOFWMRQMEM-UHFFFAOYSA-N,-8.204228340932923
AMIMRNSIRUDHCM-UHFFFAOYSA-N,-1.6848702762651435
AMKBEJYNNQNKGD-UHFFFAOYSA-N,-3.787616539837474
AMQJEAYHLZJPGS-UHFFFAOYSA-N,-4.752733801813667
AMSFEMSYKQQCHL-UHFFFAOYSA-N,-0.5904577279799188
AMVYOVYGIJXTQB-UHFFFAOYSA-N,-15.451204362084027
ANGDWNBGPBMQHW-UHFFFAOYSA-N,-6.628849455999915
ANIAQSUBRGXWLS-UHFFFAOYSA-N,-4.676077105368499
ANOOTOPTCJRUPK-UHFFFAOYSA-N,-0.47661137338377224
ANSXAPJVJOKRDJ-UHFFFAOYSA-N,-9.061530673777629
ANUCHZVCBDOPOX-UHFFFAOYSA-N,-9.88368212614133
ANVREEJNGJMLOV-UHFFFAOYSA-N,-6.860258266530238
AOGQPLXWSUTHQB-UHFFFAOYSA-N,-2.2262848949703056
AOHJOMMDDJHIJH-UHFFFAOYSA-N,-6.075367034181548
AOMUHOFOVNGZAN-UHFFFAOYSA-N,-13.925818222352591
AOPDRZXCEAKHHW-UHFFFAOYSA-N,-1.2104618591441108
AOQMRUTZEYVDIL-UHFFFAOYSA-N,-4.181053512463838
AORMDLNPRGXHHL-UHFFFAOYSA-N,2.5432536563705206
AOXRBFRFYPMWLR-UHFFFAOYSA-N,-4.260423724843376
APQIUTYORBAGEZ-UHFFFAOYSA-N,-1.8266234240471582
APQSQLNWAIULLK-UHFFFAOYSA-N,-2.6886887769353365
APSMUYYLXZULMS-UHFFFAOYSA-N,-3.0247315427116686
APTZNLHMIGJTEW-UHFFFAOYSA-N,-10.40481029206395
AQDKZPFDOWHRDZ-UHFFFAOYSA-N,-4.014550138115878
AQIXAKUUQRKLND-UHFFFAOYSA-N,-18.583959361674353
AQIXEPGDORPWBJ-UHFFFAOYSA-N,-4.446411561267777
AQNQQHJNRPDOQV-UHFFFAOYSA-N,-1.75992574059518
AQONCPKMJSBHQT-UHFFFAOYSA-N,-3.763137178890763
AQPHBYQUCKHJLT-UHFFFAOYSA-N,-8.018930166540619
AQQNNAXBGPWALO-UHFFFAOYSA-N,0.14442011254722084
AQWROZBAYZBWIH-UHFFFAOYSA-N,-1.9667131558643225
AQXYVFBSOOBBQV-UHFFFAOYSA-N,-9.456108632422167
AQZGPSLYZOOYQP-UHFFFAOYSA-N,-1.723571514959144
AQZYBQIAUSKCCS-UHFFFAOYSA-N,11.687519987957117
ARCGXLSVLAOJQL-UHFFFAOYSA-N,-17.724890353639346
ARSRBNBHOADGJU-UHFFFAOYSA-N,-9.88368212614133
ARWOOWBJJKVYOV-UHFFFAOYSA-N,2.905961397549854
ARXHIJMGSIYYRZ-UHFFFAOYSA-N,-2.4854184454774613
ARXJGSRGQADJSQ-UHFFFAOYSA-N,-5.69337170284315
ARXKVVRQIIOZGF-UHFFFAOYSA-N,-17.822256563129045
ASHGTJPOSUFTGB-UHFFFAOYSA-N,-7.825375528506431
ASLWPAWFJZFCKF-UHFFFAOYSA-N,-9.689248219517332
ASUAYTHWZCLXAN-UHFFFAOYSA-N,-5.456975410888613
ASUDFOJKTJLAIK-UHFFFAOYSA-N,-6.67815174508512
ASWVTGNCAZCNNR-UHFFFAOYSA-N,-15.108081553439506
ASZMYJSJEOGSBR-UHFFFAOYSA-N,0.14442011254722084
ATEBGNALLCMSGS-UHFFFAOYSA-N,-1.1663716619076112
ATGUVEKSASEFFO-UHFFFAOYSA-N,-10.857954696804068
ATHHXGZTWNVVOU-UHFFFAOYSA-N,-9.130138107476888
ATIMVMORQPKRPC-UHFFFAOYSA-N,-3.033464789971701
ATQUFXWBVZUTKO-UHFFFAOYSA-N,0.25544282225411247
ATROHALUCMTWTB-OWBHPGMISA-N,-4.278908296687748
ATROHALUCMTWTB-UHFFFAOYSA-N,-2.0846301605965403
ATROHALUCMTWTB-WYMLVPIESA-N,-2.6678522701989715
ATSCZMXECPRPEA-UHFFFAOYSA-N,-2.037343057149556
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,1.9160270325336444
ATVJXMYDOSMEPO-UHFFFAOYSA-N,-3.58837914874125
AUEWYHHKDYUYMI-UHFFFAOYSA-N,-3.9893858415483705
AUFSOOYCQYDGES-UHFFFAOYSA-N,-5.50839559532942
AUGNBQPSMWGAJE-UHFFFAOYSA-N,-2.5733308417961687
AUGQEEXBDZWUJY-UHFFFAOYSA-N,-19.941210869328145
AUHHYELHRWCWEZ-UHFFFAOYSA-N,-5.74137019863738
AUHZEENZYGFFBQ-UHFFFAOYSA-N,-0.9070719524159923
AUIKJTGFPFLMFP-UHFFFAOYSA-N,-4.862064941792902
AUKVIBNBLXQNIZ-UHFFFAOYSA-N,3.3301207514833364
AUQAUAIUNJIIEP-UHFFFAOYSA-N,-9.848431641033962
AUZONCFQVSMFAP-UHFFFAOYSA-N,-3.4609648585115456
AVFZOVWCLRSYKC-UHFFFAOYSA-N,-4.084266617943749
AVGQTJUPLKNPQP-UHFFFAOYSA-N,-1.398210815985035
AVMSWPWPYJVYKY-UHFFFAOYSA-N,-2.343665297695446
AVOLBYOSCILFLL-UHFFFAOYSA-N,-5.203328778179479
AVQQQNCBBIEMEU-UHFFFAOYSA-N,-7.050798585226886
AVSIMRGRHWKCAY-UHFFFAOYSA-N,-2.1392248954842676
AVTLBBWTUPQRAY-UHFFFAOYSA-N,-11.164276937349959
AVURWLKSFZBANQ-UHFFFAOYSA-N,-2.343665297695446
AVXURJPOCDRRFD-UHFFFAOYSA-N,-9.096815031028514
AVYGCQXNNJPXSS-UHFFFAOYSA-N,-5.827182203769095
AWHYRPPRRQITHX-UHFFFAOYSA-N,-4.776252936661187
AWJUIBRHMBBTKR-UHFFFAOYSA-N,-2.979828913634747
AWMVMTVKBNGEAK-UHFFFAOYSA-N,-4.446411561267777
AWYOMXWDGWUJHS-UHFFFAOYSA-N,-5.500530522443164
AWZOLILCOUMRDG-UHFFFAOYSA-N,-9.8356836303471
AWZVYNHQGTZJIH-UHFFFAOYSA-N,-5.352773786648061
AXGUBXVWZBFQGA-UHFFFAOYSA-N,-9.004376869296852
AXINNNJHLJWMTC-UHFFFAOYSA-N,-4.676077105368499
AXISYYRBXTVTFY-UHFFFAOYSA-N,-0.060957992858648335
AXNUJYHFQHQZBE-UHFFFAOYSA-N,-10.299335506666454
AXRYRYVKAWYZBR-UHFFFAOYSA-N,-41.25281049168229
AYJXHIDNNLJQDT-UHFFFAOYSA-N,-7.351173933068054
AYMUQTNXKPEMLM-UHFFFAOYSA-N,-0.44585278154584157
AZASWMGVGQEVCS-UHFFFAOYSA-N,-3.024268579572178
AZFKQCNGMSSWDS-UHFFFAOYSA-N,-4.260423724843376
AZLAWGCUDHUQDB-UHFFFAOYSA-N,3.104361807979785
AZQWKYJCGOJGHM-UHFFFAOYSA-N,-2.4187207620254827
AZSZCFSOHXEJQE-UHFFFAOYSA-N,0.058045309560200486
AZUXKVXMJOIAOF-UHFFFAOYSA-N,-9.14258830358578
AZXHAWRMEPZSSV-UHFFFAOYSA-N,-3.2073940665484746
AZYJYMAKTBXNSX-UHFFFAOYSA-N,-3.8447703443182517
AZYYQVGBVUCIEO-UHFFFAOYSA-N,-10.557659251418112
BACHBFVBHLGWSL-UHFFFAOYSA-N,-5.69337170284315
BADFHCOLISGRRW-UHFFFAOYSA-N,0.036498282431260756
BAFQDKPJKOLXFZ-UHFFFAOYSA-N,-10.321966912157457
BAHPQISAXRFLCL-UHFFFAOYSA-N,-10.460202976128205
BAJQRLZAPXASRD-UHFFFAOYSA-N,-5.361528118341523
BAMUEXIPKSRTBS-UHFFFAOYSA-N,2.284929911618861
BAPJBEWLBFYGME-UHFFFAOYSA-N,-2.9318304178405152
BAQAVOSOZGMPRM-UHFFFAOYSA-N,-23.237648653742983
BARKHVPKOOSMNW-UHFFFAOYSA-N,-4.555742701247011
BASMANVIUSSIIM-UHFFFAOYSA-N,-1.723571514959144
BATOPAZDIZEVQF-UHFFFAOYSA-N,-4.752733801813667
BAVYZALUXZFZLV-UHFFFAOYSA-N,-4.119759879941849
BAYAKMPRFGNNFW-UHFFFAOYSA-N,-4.172511328524669
BAZVSMNPJJMILC-UHFFFAOYSA-N,-14.253559206559009
BBABSCYTNHOKOG-UHFFFAOYSA-N,-1.0610168506755298
BBAWEDCPNXPBQM-UHFFFAOYSA-N,-39.4009937845916
BBAXFLIBRPXRBP-UHFFFAOYSA-N,-4.203269920362599
BBCUCNDIXLWBNQ-UHFFFAOYSA-N,-4.521467025597813
BBDKZWKEPDTENS-UHFFFAOYSA-N,0.30854484732795295
BBEAQIROQSPTKN-UHFFFAOYSA-N,-4.588164709049792
BBJPZPLAZVZTGR-UHFFFAOYSA-N,-10.973312631943237
BBKDWPHJZANJGB-UHFFFAOYSA-N,-11.583159382656923
BBMCTIGTTCKYKF-UHFFFAOYSA-N,-4.166165649512065
BBOLNFYSRZVALD-UHFFFAOYSA-N,-2.698799234691921
BBOZMMAURMEVAR-UHFFFAOYSA-N,-3.5199955379855843
BBPLSOGERZQYQC-UHFFFAOYSA-N,-3.697173924276224
BBUPBICWUURTNP-UHFFFAOYSA-N,-4.172511328524669
BBXXLROWFHWFQY-UHFFFAOYSA-N,-9.656471697325973
BCCOBQSFUDVTJQ-UHFFFAOYSA-N,3.3654051087342216
BCOXBEHFBZOJJZ-ARJAWSKDSA-N,-4.629243325762167
BCQMBFHBDZVHKU-UHFFFAOYSA-N,-9.34564070568343
BCQZXOMGPXTTIC-UHFFFAOYSA-N,-0.26272729456954436
BCTKCHOESSAGCN-UHFFFAOYSA-N,-7.6986616911255705
BCTQJXQXJVLSIG-UHFFFAOYSA-N,-11.392897390653753
BDAGIHXWWSANSR-UHFFFAOYSA-N,-7.437618390371133
BDCFWIDZNLCTMF-UHFFFAOYSA-N,-6.697190203513344
BDEIYMXBPHSOSG-UHFFFAOYSA-N,-2.014711651658554
BDERNNFJNOPAEC-UHFFFAOYSA-N,-4.954503103524564
BDFAOUQQXJIZDG-UHFFFAOYSA-N,-1.135406394814075
BDJRBEYXGGNYIS-UHFFFAOYSA-N,-15.722242245379036
BDNFHGUXBRZLRQ-UHFFFAOYSA-N,-1.9667131558643225
BDNKZNFMNDZQMI-UHFFFAOYSA-N,-1.9911925168110338
BDXKVABZWRZKOS-UHFFFAOYSA-N,-4.446411561267777
BEARMGATPGLSKG-UHFFFAOYSA-N,-1.7895425812415109
BEGNRPGEHZBNKK-UHFFFAOYSA-N,-4.098716981527604
BEIWUHUHJDEMQO-UHFFFAOYSA-N,-4.0769087210811765
BEJNERDRQOWKJM-UHFFFAOYSA-N,-6.964811205365232
BELGUQVGZMFEAQ-UHFFFAOYSA-N,-5.361528118341523
BEPAFCGSDWSTEL-UHFFFAOYSA-N,-6.927706934514697
BEYGZFVOTUDDJK-UHFFFAOYSA-N,-1.3582185949392147
BEYOBVMPDRKTNR-UHFFFAOYSA-N,-10.510908749978206
BEZDDPMMPIDMGJ-UHFFFAOYSA-N,-1.8266234240471582
BFCFYVKQTRLZHA-UHFFFAOYSA-N,-4.776252936661187
BFIMMTCNYPIMRN-UHFFFAOYSA-N,-0.7394157945547323
BFKJFAAPBSQJPD-UHFFFAOYSA-N,1.8844586349402175
BFKOEFFCVFMWPF-UHFFFAOYSA-N,-4.521467025597813
BFPYWIDHMRZLRN-UHFFFAOYSA-N,-13.16635157706658
BFSVOASYOCHEOV-UHFFFAOYSA-N,-6.871347051341829
BFTASCFRRBHFFK-UHFFFAOYSA-N,-4.405039222073494
BGHCVCJVXZWKCC-UHFFFAOYSA-N,3.48573951285571
BGJSXRVXTHVRSN-UHFFFAOYSA-N,-4.728052644060847
BGKAKRUFBSTALK-UHFFFAOYSA-N,-7.742040793698793
BGKIECJVXXHLDP-UHFFFAOYSA-N,-4.820692602598617
BGNGWHSBYQYVRX-UHFFFAOYSA-N,-6.619047101613205
BGNXCDMCOKJUMV-UHFFFAOYSA-N,-9.08567053629972
BGPPUXMKKQMWLV-UHFFFAOYSA-N,-4.360599556136064
BGQHJKADBZPYGJ-UHFFFAOYSA-N,0.4592483265014695
BGRKGHSKCFAPCL-UHFFFAOYSA-N,-4.6317607437981785
BGTOWKSIORTVQH-UHFFFAOYSA-N,-4.618923300887722
BGUWFUQJCDRPTL-UHFFFAOYSA-N,-7.166580507076128
BGXXXYLRPIRDHJ-UHFFFAOYSA-N,2.700583292143985
BGZZWXTVIYUUEY-UHFFFAOYSA-N,-11.563656067887054
BHAAPTBBJKJZER-UHFFFAOYSA-N,-7.749367464975572
BHELZAPQIKSEDF-UHFFFAOYSA-N,-0.5337651778645494
BHFJBHMTEDLICO-UHFFFAOYSA-N,4.693998415737083
BHGNYYIOYPFWKC-UHFFFAOYSA-N,3.4428883539950377
BHHGXPLMPWCGHP-UHFFFAOYSA-N,-6.242835584294218
BHIWKHZACMWKOJ-UHFFFAOYSA-N,-2.6961380785798585
BHKLONWXRPJNAE-UHFFFAOYSA-N,-6.157023579162503
BHNZEZWIUMJCGF-UHFFFAOYSA-N,0.5352563900323278
BHQBQWOZHYUVTL-UHFFFAOYSA-N,-2.98446456261905
BHRZNVHARXXAHW-UHFFFAOYSA-N,-4.203269920362599
BHWVLZJTVIYLIV-UHFFFAOYSA-N,-3.2953064628671824
BHXIWUJLHYHGSJ-UHFFFAOYSA-N,-5.2684935508752755
BIAVIOIDPRPYJK-UHFFFAOYSA-N,-4.203269920362599
BIISIZOQPWZPPS-UHFFFAOYSA-N,-2.1755791211203035
BIPUHAHGLJKIPK-UHFFFAOYSA-N,-5.427310288530464
BITLXSQYFZTQGC-UHFFFAOYSA-N,0.18821044320646466
BIWJNBZANLAXMG-UHFFFAOYSA-N,-3.7109598433923057
BIXZHMJUSMUDOQ-UHFFFAOYSA-N,-7.6032767860154955
BJELTSYBAHKXRW-UHFFFAOYSA-N,-6.6381595240393025
BJEPYKJPYRNKOW-UHFFFAOYSA-N,-16.381037266809333
BJFOCMRBCBZFJT-UHFFFAOYSA-N,-3.7420886185389515
BJIOGJUNALELMI-ONEGZZNKSA-N,-5.915490622453312
BJIOGJUNALELMI-UHFFFAOYSA-N,-5.352773786648061
BJQHLKABXJIVAM-UHFFFAOYSA-N,-6.908256762324468
BJQWYEJQWHSSCJ-UHFFFAOYSA-N,6.458000430960741
BJRNKVDFDLYUGJ-UHFFFAOYSA-N,-23.949712295906153
BKAQXYNWONVOAX-UHFFFAOYSA-N,-10.988119830450334
BKHVEYHSOXVAOP-UHFFFAOYSA-N,0.2453642476872418
BKIMMITUMNQMOS-UHFFFAOYSA-N,3.116236672669109
BKIXWRBZCQEZAQ-UHFFFAOYSA-N,-4.79888434215219
BKKNDZBSSSAGIB-UHFFFAOYSA-N,0.022552047562101482
BKOOMYPCSUNDGP-UHFFFAOYSA-N,0.9673398687582557
BKQICAFAUMRYLZ-UHFFFAOYSA-N,-4.360599556136064
BKYWPNROPGQIFZ-UHFFFAOYSA-N,-6.334269590301416
BLAYIQLVUNIICD-UHFFFAOYSA-N,-1.5510597753391988
BLFLLBZGZJTVJG-UHFFFAOYSA-N,-8.588723488771727
BLJRIMJGRPQVNF-UHFFFAOYSA-N,-20.435436797994576
BLLFVUPNHCTMSV-UHFFFAOYSA-N,-3.607055537471622
BLNBSBLKPFFJKQ-UHFFFAOYSA-N,3.1533409435196424
BLXSFCHWMBESKV-UHFFFAOYSA-N,-0.6104218743097172
BLYXNIHKOMELAP-UHFFFAOYSA-N,-11.492017921556375
BMFVGAAISNGQNM-UHFFFAOYSA-N,-3.8447703443182517
BMIPMKQAAJKBKP-UHFFFAOYSA-N,-5.553281971025985
BMKDZUISNHGIBY-UHFFFAOYSA-N,-23.643390055360264
BMLIZLVNXIYGCK-UHFFFAOYSA-N,-10.601027136782808
BMRWNKZVCUKKSR-UHFFFAOYSA-N,-8.233847253484228
BMTAFVWTTFSTOG-UHFFFAOYSA-N,-3.4609648585115456
BMURONZFJJPAOK-UHFFFAOYSA-N,-3.4812942992915845
BMVXCPBXGZKUPN-UHFFFAOYSA-N,-4.061916413428973
BMWPPNAUMLRKML-UHFFFAOYSA-N,-5.999693943389039
BMXRLHMJGHJGLR-UHFFFAOYSA-N,-1.441728635359965
BMZVDHQOAJUZJL-UHFFFAOYSA-N,-2.7659448348205187
BNIXVQGCZULYKV-UHFFFAOYSA-N,-1.4988824398407423
BNRNAKTVFSZAFA-UHFFFAOYSA-N,0.8470054646367673
BNRNXUUZRGQAQC-UHFFFAOYSA-N,-25.64868004364269
BNWJOHGLIBDBOB-UHFFFAOYSA-N,-6.485977225199397
BOBYQFFCQPQLOB-UHFFFAOYSA-N,-4.446411561267777
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,-9.726352490367866
BODRLKRKPXBDBN-UHFFFAOYSA-N,-3.5199955379855843
BOFHKBLZOYVHSI-UHFFFAOYSA-N,-9.714237713264534
BOHCMQZJWOGWTA-UHFFFAOYSA-N,-3.697173924276224
BOJLCKCCKQMGKD-UHFFFAOYSA-N,-4.485112799961778
BOPPSUHPZARXTH-UHFFFAOYSA-N,-6.744338842370582
BOSAWIQFTJIYIS-UHFFFAOYSA-N,1.3763670926834313
BOSMZFBHAYFUBJ-UHFFFAOYSA-N,-7.866747867700713
BOTUVXISJHKZKJ-UHFFFAOYSA-N,-9.92812179207876
BOUGCJDAQLKBQH-UHFFFAOYSA-N,0.7241982278530769
BOVQCIDBZXNFEJ-UHFFFAOYSA-N,-1.5510597753391988
BPEWUONYVDABNZ-UHFFFAOYSA-N,-7.79611796641548
BPIUIOXAFBGMNB-UHFFFAOYSA-N,-0.9760745499323948
BPKAHTKRCLCHEA-UHFFFAOYSA-N,-6.697190203513344
BPPMIQPXQVIZNJ-UHFFFAOYSA-N,-7.780935862569001
BPPVUXSMLBXYGG-UHFFFAOYSA-N,-21.345500646676985
BPQMGSKTAYIVFO-UHFFFAOYSA-N,-21.015659271283575
BPRHUIZQVSMCRT-UHFFFAOYSA-N,-24.71783845731569
BPRYUXCVCCNUFE-UHFFFAOYSA-N,-5.442687055930289
BPZSYCZIITTYBL-UHFFFAOYSA-N,-28.271985264674573
BPZZWRPHVVDAPT-UHFFFAOYSA-N,-17.01510049156164
BQCIDUSAKPWEOX-UHFFFAOYSA-N,1.6162229112807154
BQENMISTWGTJIJ-UHFFFAOYSA-N,-2.157677461271045
BQFCCUSDZLKBJG-UHFFFAOYSA-N,-4.728254440866955
BQHCQAQLTCQFJZ-UHFFFAOYSA-N,-2.316403281774907
BQJMULPFAUGVGY-UHFFFAOYSA-N,-5.059368651702323
BQOFWKZOCNGFEC-UHFFFAOYSA-N,0.5036879924389007
BQTCODOVGXJHRB-UHFFFAOYSA-N,-4.405039222073494
BQYJATMQXGBDHF-UHFFFAOYSA-N,-14.981410349972165
BRBCKWCOTRPYGH-UHFFFAOYSA-N,-5.472305968481594
BREATYVWRHIPIY-UHFFFAOYSA-N,-7.074142345344466
BREOHRVZEZMFOB-UHFFFAOYSA-N,4.358418613100241
BRHDDEIRQPDPMG-UHFFFAOYSA-N,-5.081002857699688
BRLQWZUYTZBJKN-UHFFFAOYSA-N,-4.084266617943749
BROFYOSLFHTGCQ-UHFFFAOYSA-N,-4.260423724843376
BRPSAOUFIJSKOT-UHFFFAOYSA-N,-5.827182203769095
BRWIZMBXBAOCCF-UHFFFAOYSA-N,-10.510908749978206
BSAIUMLZVGUGKX-UHFFFAOYSA-N,-3.024268579572178
BSFHJMGROOFSRA-UHFFFAOYSA-N,-4.172511328524669
BSFZSQRJGZHMMV-UHFFFAOYSA-N,-2.1005236567902674
BSJDQMWAWFTDGD-UHFFFAOYSA-N,-5.1919063171863105
BSKHPKMHTQYZBB-UHFFFAOYSA-N,-4.752733801813667
BSMGLVDZZMBWQB-UHFFFAOYSA-N,-4.405039222073494
BSPCSKHALVHRSR-UHFFFAOYSA-N,-0.060957992858648335
BSWWXRFVMJHFBN-UHFFFAOYSA-N,-7.94180333203075
BSYJHYLAMMJNRC-UHFFFAOYSA-N,-4.752733801813667
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,-9.784736954860477
BSYVTEYKTMYBMK-UHFFFAOYSA-N,-9.420030249821975
BSZXAFXFTLXUFV-UHFFFAOYSA-N,-2.6186858176187853
BTAGRXWGMYTPBY-UHFFFAOYSA-N,-2.608615199047054
BTANRVKWQNVYAZ-UHFFFAOYSA-N,-4.79888434215219
BTFJIXJJCSYFAL-UHFFFAOYSA-N,-4.312601060341832
BTFQKIATRPGRBS-UHFFFAOYSA-N,-4.084266617943749
BTGGSWBKRYMHQK-UHFFFAOYSA-N,3.059082868188332
BTGRAWJCKBQKAO-UHFFFAOYSA-N,-10.142005870892989
BTJIUGUIPKRLHP-UHFFFAOYSA-N,-7.94180333203075
BTLXPCBPYBNQNR-UHFFFAOYSA-N,-9.079432333626887
BTMVHUNTONAYDX-UHFFFAOYSA-N,-2.6014305243644493
BTNXBLUGMAMSSH-UHFFFAOYSA-N,-7.681425595894472
BTOCFTAWZMMTNB-UHFFFAOYSA-N,-1.3512860197987144
BTRCDLZQISXWHZ-UHFFFAOYSA-N,-2.037343057149556
BUDQDWGNQVEFAC-UHFFFAOYSA-N,-0.060957992858648335
BUHNCQOJJZAOMJ-UHFFFAOYSA-N,-9.700059474833962
BUKLLCIUMZELOH-UHFFFAOYSA-N,-3.8685527863226383
