ikey,logHenrycc,source
ZQUPQXINXTWCQR-UHFFFAOYSA-N,2.354296845047214,GuthrieSolv-reconciled
YATIGPZCMOYEGE-UHFFFAOYSA-N,4.653212513775344,meta37-model
LPSROTXXMWXWOK-UHFFFAOYSA-N,3.307705613035127,GuthrieSolv-reconciled
GSPFUBNBRPVALJ-UHFFFAOYSA-N,11.5910646070265,meta37-model
XAMUDJHXFNRLCY-UHFFFAOYSA-N,6.480056033966662,GuthrieSolv-reconciled
NCKMMSIFQUPKCK-UHFFFAOYSA-N,6.959041392321094,meta37-model
LOCWBQIWHWIRGN-UHFFFAOYSA-N,6.31482735566321,GuthrieSolv-reconciled
SBASXUCJHJRPEV-UHFFFAOYSA-N,5.927008205551262,GuthrieSolv-reconciled
YRHYCMZPEVDGFQ-UHFFFAOYSA-N,1.0879242001167715,GuthrieSolv-reconciled
GBONVOIRPAJSLA-UHFFFAOYSA-N,3.0791812460476247,meta37-model
QPFMBZIOSGYJDE-UHFFFAOYSA-N,1.6814528377835192,GuthrieSolv-reconciled
UWKAYLJWKGQEPM-UHFFFAOYSA-N,2.579009296297209,GuthrieSolv-reconciled
HMKKIXGYKWDQSV-UHFFFAOYSA-N,3.4913616938342726,meta37-model
UENWRTRMUIOCKN-UHFFFAOYSA-N,2.0791812460476247,meta37-model
OZHJEQVYCBTHJT-UHFFFAOYSA-N,3.0,meta37-model
NEKOXWSIMFDGMA-UHFFFAOYSA-N,2.328496645558415,GuthrieSolv-reconciled
OZCMOJQQLBXBKI-UHFFFAOYSA-N,0.9417727577044751,GuthrieSolv-reconciled
DNRJTBAOUJJKDY-UHFFFAOYSA-N,2.230448921378274,meta37-model
PJGJQVRXEUVAFT-UHFFFAOYSA-N,1.402887354222093,GuthrieSolv-reconciled
OWZREIFADZCYQD-UHFFFAOYSA-N,3.690196080028514,meta37-model
AZLAWGCUDHUQDB-UHFFFAOYSA-N,-2.5382341329651212,GuthrieSolv-reconciled
ALKYHXVLJMQRLQ-UHFFFAOYSA-N,7.230448921378274,meta37-model
URFPRAHGGBYNPW-UHFFFAOYSA-N,0.8920946026904804,meta37-model
IKXILDNPCZPPRV-UHFFFAOYSA-N,6.4623979978989565,meta37-model
SUBDBMMJDZJVOS-UHFFFAOYSA-N,16.913813852383715,meta37-model
VJYIFXVZLXQVHO-UHFFFAOYSA-N,12.54931151340689,GuthrieSolv-reconciled
WZHKDGJSXCTSCK-UHFFFAOYSA-N,-1.6575889576745524,GuthrieSolv-reconciled
NWPNXBQSRGKSJB-UHFFFAOYSA-N,3.2303585482035757,GuthrieSolv-reconciled
LRHPLDYGYMQRHN-UHFFFAOYSA-N,3.368024091038663,GuthrieSolv-reconciled
WZDDLAZXUYIVMU-UHFFFAOYSA-N,-0.0665092601273947,GuthrieSolv-reconciled
YBUGOACXDPDUIR-UHFFFAOYSA-N,3.983097082416379,GuthrieSolv-reconciled
OLTYAGNRSNFHLK-UHFFFAOYSA-N,2.863322860120456,meta37-model
FINOAUDUYKVGDS-UHFFFAOYSA-N,1.3979400086720375,meta37-model
MLUCVPSAIODCQM-UHFFFAOYSA-N,3.0435337830232116,GuthrieSolv-reconciled
AZASWMGVGQEVCS-UHFFFAOYSA-N,2.146128035678238,meta37-model
LXIZRZRTWSDLKK-UHFFFAOYSA-N,8.778151250383644,meta37-model
CYEKUDPFXBLGHH-UHFFFAOYSA-N,4.909642735065509,GuthrieSolv-reconciled
KUFFULVDNCHOFZ-UHFFFAOYSA-N,4.290938192680494,GuthrieSolv-reconciled
JBIJLHTVPXGSAM-UHFFFAOYSA-N,5.366804359408714,GuthrieSolv-reconciled
ZVQXQPNJHRNGID-UHFFFAOYSA-N,5.672097857935717,meta37-model
WLLGXSLBOPFWQV-UHFFFAOYSA-N,4.939519252618618,meta37-model
VBCVPMMZEGZULK-UHFFFAOYSA-N,7.568201724066995,meta37-model
FCEHBMOGCRZNNI-UHFFFAOYSA-N,2.0,meta37-model
WFJIVOKAWHGMBH-UHFFFAOYSA-N,7.973127853599698,meta37-model
KWOLFJPFCHCOCG-UHFFFAOYSA-N,3.274636063896986,GuthrieSolv-reconciled
QNRMTGGDHLBXQZ-UHFFFAOYSA-N,-0.4950904102463957,GuthrieSolv-reconciled
DOWJXOHBNXRUOD-UHFFFAOYSA-N,2.6599208327386914,GuthrieSolv-reconciled
XXMIOPMDWAUFGU-UHFFFAOYSA-N,8.041392685158225,meta37-model
BZNDWPRGXNILMS-VQHVLOKHSA-N,5.546546033541053,GuthrieSolv-reconciled
POOSGDOYLQNASK-UHFFFAOYSA-N,-4.107905397309519,meta37-model
KVNYFPKFSJIPBJ-UHFFFAOYSA-N,0.921221176276485,GuthrieSolv-reconciled
FXTKWBZFNQHAAO-UHFFFAOYSA-N,5.230448921378274,meta37-model
XITQUSLLOSKDTB-UHFFFAOYSA-N,3.9138138523837167,meta37-model
FLMIYUXOBAUKJM-UHFFFAOYSA-N,2.672097857935717,meta37-model
CFBYEGUGFPZCNF-UHFFFAOYSA-N,4.665163021518726,GuthrieSolv-reconciled
NTDQQZYCCIDJRK-UHFFFAOYSA-N,3.505149978319906,meta37-model
OSASVXMJTNOKOY-UHFFFAOYSA-N,4.041392685158225,meta37-model
WRMNZCZEMHIOCP-UHFFFAOYSA-N,4.871615909265689,GuthrieSolv-reconciled
VOZKAJLKRJDJLL-UHFFFAOYSA-N,7.414973347970818,meta37-model
KRTSDMXIXPKRQR-UHFFFAOYSA-N,10.57978359661681,meta37-model
OEYKUHBCPJRXGZ-UHFFFAOYSA-N,1.259108453156578,GuthrieSolv-reconciled
MPPOHAUSNPTFAJ-UHFFFAOYSA-N,6.818357543024417,GuthrieSolv-reconciled
XKYICAQFSCFURC-UHFFFAOYSA-N,1.4975909522809265,GuthrieSolv-reconciled
DJHHDLMTUOLVHY-UHFFFAOYSA-N,2.951157649231358,GuthrieSolv-reconciled
DCOPUUMXTXDBNB-UHFFFAOYSA-N,2.5573907732046894,GuthrieSolv-reconciled
RULKYXXCCZZKDZ-UHFFFAOYSA-N,3.612348527661064,GuthrieSolv-reconciled
QHOQHJPRIBSPCY-UHFFFAOYSA-N,4.504811210111563,GuthrieSolv-reconciled
LINPIYWFGCPVIE-UHFFFAOYSA-N,3.862739151281717,GuthrieSolv-reconciled
HORIEOQXBKUKGQ-UHFFFAOYSA-N,2.531478917042255,meta37-model
PNDPGZBMCMUPRI-UHFFFAOYSA-N,1.8388490907372552,meta37-model
QQCWGAMGBCGAQJ-UHFFFAOYSA-N,-2.5964176156615566,GuthrieSolv-reconciled
XOOGZRUBTYCLHG-UHFFFAOYSA-N,-1.3498312369186967,GuthrieSolv-reconciled
PRKTYWJFCODJOA-UHFFFAOYSA-N,2.431363764158988,meta37-model
DJEUXBQAKBLKPO-UHFFFAOYSA-N,1.8641968209256297,GuthrieSolv-reconciled
FAGUFWYHJQFNRV-UHFFFAOYSA-N,17.913813852383715,meta37-model
JPMHUDBOKDBBLG-UHFFFAOYSA-N,2.113943352306837,meta37-model
SFRKSDZMZHIISH-UHFFFAOYSA-N,-2.0409586076789066,meta37-model
UCCUXODGPMAHRL-UHFFFAOYSA-N,0.5324624141014429,GuthrieSolv-reconciled
SPEUIVXLLWOEMJ-UHFFFAOYSA-N,3.4569650493058433,GuthrieSolv-reconciled
YMWUJEATGCHHMB-UHFFFAOYSA-N,0.949484718691235,GuthrieSolv-reconciled
NPFVOOAXDOBMCE-UHFFFAOYSA-N,1.8429865540641337,GuthrieSolv-reconciled
JXMYUMNAEKRMIP-UHFFFAOYSA-N,2.770852011642144,meta37-model
YXIWHUQXZSMYRE-UHFFFAOYSA-N,5.832508912706237,meta37-model
VHOGYURTWQBHIL-UHFFFAOYSA-N,8.301029995663981,meta37-model
AHJKRLASYNVKDZ-UHFFFAOYSA-N,3.568201724066995,meta37-model
YASAKCUCGLMORW-UHFFFAOYSA-N,12.146128035678238,meta37-model
DTQVDTLACAAQTR-UHFFFAOYSA-N,5.114423193269074,GuthrieSolv-reconciled
YOYAIZYFCNQIRF-UHFFFAOYSA-N,3.730774029656081,GuthrieSolv-reconciled
FFWSICBKRCICMR-UHFFFAOYSA-N,2.171868207766901,GuthrieSolv-reconciled
QXJQHYBHAIHNGG-UHFFFAOYSA-N,6.342422680822207,meta37-model
YKOLZVXSPGIIBJ-UHFFFAOYSA-N,0.0,meta37-model
JJXNVYMIYBNZQX-UHFFFAOYSA-N,5.2528066284716015,GuthrieSolv-reconciled
LDVVMCZRFWMZSG-UHFFFAOYSA-N,6.3766041989772235,GuthrieSolv-reconciled
GETTZEONDQJALK-UHFFFAOYSA-N,0.13929585417099408,GuthrieSolv-reconciled
JTXMVXSTHSMVQF-UHFFFAOYSA-N,5.385248698394381,GuthrieSolv-reconciled
INRBXOGZPDFCLQ-UHFFFAOYSA-N,3.0,meta37-model
JPOPEORRMSDUIP-UHFFFAOYSA-N,2.9745013347057006,GuthrieSolv-reconciled
SOBGIMQKWDUEPY-UHFFFAOYSA-N,3.7481880270062,meta37-model
RZJRJXONCZWCBN-UHFFFAOYSA-N,0.1495234734908575,GuthrieSolv-reconciled
TVYVQNHYIHAJTD-UHFFFAOYSA-N,1.462397997898956,meta37-model
UGAZGYFCTFGQQH-UHFFFAOYSA-N,2.740362689494244,meta37-model
JMMWKPVZQRWMSS-UHFFFAOYSA-N,1.8726144550649497,GuthrieSolv-reconciled
RIFKADJTWUGDOV-UHFFFAOYSA-N,2.7810025930914417,GuthrieSolv-reconciled
WQYFETFRIRDUPJ-UHFFFAOYSA-N,9.041392685158224,meta37-model
CBVFSZDQEHBJEQ-UHFFFAOYSA-N,-2.3808037075949646,GuthrieSolv-reconciled
LJIIBBYARMPSMT-UHFFFAOYSA-N,-2.5874310891161647,GuthrieSolv-reconciled
XVBWGQSXLITICX-UHFFFAOYSA-N,3.322219294733919,meta37-model
SCABKEBYDRTODC-UHFFFAOYSA-N,10.897627091290442,meta37-model
DSRNRYQBBJQVCW-UHFFFAOYSA-N,6.0668356547794,GuthrieSolv-reconciled
UQEAIHBTYFGYIE-UHFFFAOYSA-N,-2.219723499779126,GuthrieSolv-reconciled
YKHFZRXJMPLNTJ-UHFFFAOYSA-N,-1.4811090745251274,GuthrieSolv-reconciled
RPNFRXWGMTYOPA-UHFFFAOYSA-N,1.2299446958374538,GuthrieSolv-reconciled
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,28.342422680822207,meta37-model
YLQWCDOCJODRMT-UHFFFAOYSA-N,4.556302500767287,meta37-model
VTTDWGUAWMLHPR-UHFFFAOYSA-N,2.3754644970040903,GuthrieSolv-reconciled
MJUJXFBTEFXVKU-UHFFFAOYSA-N,3.6232492903979,meta37-model
DQOHPSPKVODKLV-UHFFFAOYSA-N,-3.3425849407619608,GuthrieSolv-reconciled
SDAXRHHPNYTELL-UHFFFAOYSA-N,2.6020599913279625,meta37-model
BEIWUHUHJDEMQO-UHFFFAOYSA-N,2.90848501887865,meta37-model
DDBREPKUVSBGFI-UHFFFAOYSA-N,12.146128035678238,meta37-model
MNHVNIJQQRJYDH-UHFFFAOYSA-N,7.732393759822968,meta37-model
BDCFWIDZNLCTMF-UHFFFAOYSA-N,4.806179973983888,meta37-model
UFHLMYOGRXOCSL-UHFFFAOYSA-N,2.4220629205642124,GuthrieSolv-reconciled
TZNRRNKRZXHADL-UHFFFAOYSA-N,-1.958607314841775,meta37-model
CTQNGGLPUBDAKN-UHFFFAOYSA-N,0.6079550483027886,GuthrieSolv-reconciled
LJSQFQKUNVCTIA-UHFFFAOYSA-N,0.9870342167567067,GuthrieSolv-reconciled
PDMFRPIFZAKMLH-UHFFFAOYSA-N,3.230448921378274,meta37-model
KJFMBFZCATUALV-UHFFFAOYSA-N,13.431363764158988,meta37-model
QANMHLXAZMSUEX-UHFFFAOYSA-N,12.30102999566398,meta37-model
QDGZDCVAUDNJFG-UHFFFAOYSA-N,19.17609125905568,meta37-model
CUILPNURFADTPE-UHFFFAOYSA-N,3.505149978319906,meta37-model
AEMRFAOFKBGASW-UHFFFAOYSA-N,-2.127199544473454,GuthrieSolv-reconciled
BCTQJXQXJVLSIG-UHFFFAOYSA-N,6.138718481880723,GuthrieSolv-reconciled
RAUWPNXIALNKQM-UHFFFAOYSA-N,9.518513939877888,meta37-model
KLIHYVJAYWCEDM-UHFFFAOYSA-N,5.32221929473392,meta37-model
PGFXOWRDDHCDTE-UHFFFAOYSA-N,-1.6575773191777938,meta37-model
IRSCQMHQWWYFCW-UHFFFAOYSA-N,21.204119982655925,meta37-model
ZLCUIOWQYBYEBG-UHFFFAOYSA-N,10.30102999566398,meta37-model
SQNZJJAZBFDUTD-UHFFFAOYSA-N,0.013698483069354598,GuthrieSolv-reconciled
DQWPFSLDHJDLRL-UHFFFAOYSA-N,5.419277473033768,GuthrieSolv-reconciled
OPTASPLRGRRNAP-UHFFFAOYSA-N,7.0895204878709945,GuthrieSolv-reconciled
FTPXXARYDFWPGE-UHFFFAOYSA-N,3.255272505103306,meta37-model
CTFRWEPMHUGVMM-UHFFFAOYSA-N,5.826074802700826,meta37-model
PAZDSSMTPLLLIR-UHFFFAOYSA-N,2.949390006644913,meta37-model
OMFRMAHOUUJSGP-UNOMPAQXSA-N,4.3434469466364565,GuthrieSolv-reconciled
RUFPHBVGCFYCNW-UHFFFAOYSA-N,5.22917571065157,GuthrieSolv-reconciled
LQQYOLMGDBGEBC-UHFFFAOYSA-N,3.361727836017593,meta37-model
NWOYYECMNBWCNK-UHFFFAOYSA-N,1.5314789170422551,meta37-model
JEEQUUSFXYRPRK-UHFFFAOYSA-N,-2.5185553435431136,GuthrieSolv-reconciled
BIAVIOIDPRPYJK-UHFFFAOYSA-N,3.0,meta37-model
SVTBMSDMJJWYQN-UHFFFAOYSA-N,4.785329835010767,meta37-model
YAXKTBLXMTYWDQ-UHFFFAOYSA-N,12.863322860120457,meta37-model
CXBMCYHAMVGWJQ-UHFFFAOYSA-N,6.187109091393986,GuthrieSolv-reconciled
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,7.262183853314346,GuthrieSolv-reconciled
XFDJMIHUAHSGKG-UHFFFAOYSA-N,3.763427993562937,meta37-model
PHTQWCKDNZKARW-UHFFFAOYSA-N,3.1615894811871033,GuthrieSolv-reconciled
HPYNZHMRTTWQTB-UHFFFAOYSA-N,3.4490525725931813,GuthrieSolv-reconciled
WSORODGWGUUOBO-UHFFFAOYSA-N,10.146128035678238,meta37-model
SMYMJHWAQXWPDB-UHFFFAOYSA-N,5.54184040564162,GuthrieSolv-reconciled
UEXCJVNBTNXOEH-UHFFFAOYSA-N,1.4929636758999922,GuthrieSolv-reconciled
HARQWLDROVMFJE-UHFFFAOYSA-N,4.079181246047625,meta37-model
LQZZUXJYWNFBMV-UHFFFAOYSA-N,2.8794377977495937,GuthrieSolv-reconciled
DNJIEGIFACGWOD-UHFFFAOYSA-N,0.8925352322905491,GuthrieSolv-reconciled
RTNLUFLDZOAXIC-UHFFFAOYSA-N,1.5185139398778875,meta37-model
KYCZJIBOPKRSOV-UHFFFAOYSA-N,-2.3414460623943048,GuthrieSolv-reconciled
UAHWPYUMFXYFJY-UHFFFAOYSA-N,-0.3719610431307896,GuthrieSolv-reconciled
FITQCDWGUKECBJ-UHFFFAOYSA-N,3.113943352306837,meta37-model
QEPTXDCPBXMWJC-UHFFFAOYSA-N,1.8976270912904407,meta37-model
ROTONRWJLXYJBD-UHFFFAOYSA-N,6.112974893515348,GuthrieSolv-reconciled
MHAJPDPJQMAIIY-UHFFFAOYSA-N,6.229803273213572,GuthrieSolv-reconciled
JCTXKRPTIMZBJT-UHFFFAOYSA-N,4.531478917042255,meta37-model
RRRXPPIDPYTNJG-UHFFFAOYSA-N,-1.853871964321762,meta37-model
IAVREABSGIHHMO-UHFFFAOYSA-N,6.840745843753468,GuthrieSolv-reconciled
MGOHCFMYLBAPRN-UHFFFAOYSA-N,9.431363764158988,meta37-model
CTMHWPIWNRWQEG-UHFFFAOYSA-N,-0.5283009939817421,GuthrieSolv-reconciled
SXCBDZAEHILGLM-UHFFFAOYSA-N,7.690196080028514,meta37-model
AVOLBYOSCILFLL-UHFFFAOYSA-N,3.724275869600789,meta37-model
BUKLLCIUMZELOH-UHFFFAOYSA-N,2.728133433178482,GuthrieSolv-reconciled
WNQKLIFDPFSPIZ-UHFFFAOYSA-N,3.568201724066995,meta37-model
GYFAGKUZYNFMBN-UHFFFAOYSA-N,4.792674928479189,GuthrieSolv-reconciled
OGRAOKJKVGDSFR-UHFFFAOYSA-N,-0.050870844756030924,GuthrieSolv-reconciled
PPQNQXQZIWHJRB-UHFFFAOYSA-N,3.6720978579357175,meta37-model
QBYJBZPUGVGKQQ-AQGYCGNHSA-N,2.614049267075657,GuthrieSolv-reconciled
XTLMVJUSIANHND-UHFFFAOYSA-N,2.8920946026904804,meta37-model
KXGYBSNVFXBPNO-UHFFFAOYSA-N,6.007318818014461,GuthrieSolv-reconciled
PQHZWWBJPCNNGI-UHFFFAOYSA-N,1.2867376925765959,GuthrieSolv-reconciled
NSPMIYGKQJPBQR-UHFFFAOYSA-N,4.204119982655925,meta37-model
BFPYWIDHMRZLRN-UHFFFAOYSA-N,9.491361693834271,meta37-model
MWFMGBPGAXYFAR-UHFFFAOYSA-N,5.301029995663981,meta37-model
XEGGRYVFLWGFHI-UHFFFAOYSA-N,5.711653934733602,GuthrieSolv-reconciled
SIEILFNCEFEENQ-UHFFFAOYSA-N,6.748188027006201,meta37-model
WIMBRKMSNRCNMP-UHFFFAOYSA-N,-3.3221144038917854,GuthrieSolv-reconciled
SGHBRHKBCLLVCI-UHFFFAOYSA-N,6.951901928744365,GuthrieSolv-reconciled
UFBJCMHMOXMLKC-UHFFFAOYSA-N,5.295638678131476,GuthrieSolv-reconciled
UDSJPFPDKCMYBD-UHFFFAOYSA-N,9.182764498871643,GuthrieSolv-reconciled
HIILBTHBHCLUER-UHFFFAOYSA-N,0.146128035678238,meta37-model
VAIZTNZGPYBOGF-UHFFFAOYSA-N,4.742244137178256,GuthrieSolv-reconciled
PUIYMUZLKQOUOZ-UHFFFAOYSA-N,8.020816812413374,GuthrieSolv-reconciled
HVBSAKJJOYLTQU-UHFFFAOYSA-N,10.431363764158988,meta37-model
KGKGSIUWJCAFPX-UHFFFAOYSA-N,7.784946304252312,GuthrieSolv-reconciled
CMWTZPSULFXXJA-UHFFFAOYSA-N,3.8000539890246268,GuthrieSolv-reconciled
HKTCLPBBJDIBGF-UHFFFAOYSA-N,2.0317335962287015,GuthrieSolv-reconciled
LFYXNXGVLGKVCJ-UHFFFAOYSA-N,2.2907622699266508,GuthrieSolv-reconciled
MCVUKOYZUCWLQQ-UHFFFAOYSA-N,-0.8538719643217619,meta37-model
HKOOXMFOFWEVGF-UHFFFAOYSA-N,6.6435934155079455,GuthrieSolv-reconciled
HTVITOHKHWFJKO-UHFFFAOYSA-N,9.30102999566398,meta37-model
ICMAFTSLXCXHRK-UHFFFAOYSA-N,1.7804570646934257,GuthrieSolv-reconciled
SLZWBCGZQRRUNG-UHFFFAOYSA-N,5.732393759822968,meta37-model
FOQABOMYTOFLPZ-UHFFFAOYSA-N,11.265019988549716,GuthrieSolv-reconciled
ZUVPLKVDZNDZCM-UHFFFAOYSA-N,4.204119982655925,meta37-model
XMROPFQWHHUFFS-UHFFFAOYSA-N,-2.3906431164886466,GuthrieSolv-reconciled
LEVCDMVRVMUUKB-UHFFFAOYSA-N,4.828670402160108,GuthrieSolv-reconciled
NHTMVDHEPJAVLT-UHFFFAOYSA-N,-2.1180044169559986,GuthrieSolv-reconciled
QBKSWRVVCFFDOT-UHFFFAOYSA-N,26.041392685158225,meta37-model
ISRGONDNXBCDBM-UHFFFAOYSA-N,1.0791812460476249,meta37-model
JFKUBRAOUZEZSL-UHFFFAOYSA-N,4.131308925757279,GuthrieSolv-reconciled
WQRCEBAZAUAUQC-UHFFFAOYSA-N,5.973602381659294,GuthrieSolv-reconciled
DNVPQKQSNYMLRS-UHFFFAOYSA-N,2.1760912590556813,meta37-model
GTLACDSXYULKMZ-UHFFFAOYSA-N,-1.0604807473813815,meta37-model
GUYMMHOQXYZMJQ-UHFFFAOYSA-N,3.6020599913279625,meta37-model
GFXPLABVZOBCCW-UHFFFAOYSA-N,3.380211241711606,meta37-model
QJYHUJAGJUHXJN-UHFFFAOYSA-N,5.643452676486188,meta37-model
UDSFAEKRVUSQDD-UHFFFAOYSA-N,4.3979400086720375,meta37-model
FDAJTLLBHNHECW-UHFFFAOYSA-N,2.57978359661681,meta37-model
KKKDZZRICRFGSD-UHFFFAOYSA-N,3.877291368129098,GuthrieSolv-reconciled
YXVFYQXJAXKLAK-UHFFFAOYSA-N,4.2152022247248,GuthrieSolv-reconciled
KAVGMUDTWQVPDF-UHFFFAOYSA-N,-4.431798275933005,meta37-model
PSXCGTLGGVDWFU-UHFFFAOYSA-N,3.4273555796552335,GuthrieSolv-reconciled
BLLFVUPNHCTMSV-UHFFFAOYSA-N,2.568201724066995,meta37-model
WTTJVINHCBCLGX-UHFFFAOYSA-N,2.1760912590556813,meta37-model
GGOIYPAZTVTJBE-UHFFFAOYSA-N,3.380211241711606,meta37-model
UHXUZOCRWCRNSJ-UHFFFAOYSA-N,9.002755725549275,GuthrieSolv-reconciled
NBQCNZYJJMBDKY-UHFFFAOYSA-N,8.199159068959025,GuthrieSolv-reconciled
TVBNRFCUTVWHQB-UHFFFAOYSA-N,6.368880059579904,GuthrieSolv-reconciled
XTDKZSUYCXHXJM-UHFFFAOYSA-N,2.85293506982944,GuthrieSolv-reconciled
HCTKORQPUZCIAO-UHFFFAOYSA-N,1.807393025429228,GuthrieSolv-reconciled
RMGHERXMTMUMMV-UHFFFAOYSA-N,1.4088487285750888,GuthrieSolv-reconciled
IUQAXCIUEPFPSF-UHFFFAOYSA-N,13.146128035678238,meta37-model
BZHMBWZPUJHVEE-UHFFFAOYSA-N,-2.12408584697313,GuthrieSolv-reconciled
OAKJQQAXSVQMHS-UHFFFAOYSA-N,6.68971519837087,GuthrieSolv-reconciled
RWNKSTSCBHKHTB-UHFFFAOYSA-N,0.30693068084508435,GuthrieSolv-reconciled
WFVUIONFJOAYPK-UHFFFAOYSA-N,5.44468448391856,GuthrieSolv-reconciled
POFMQEVZKZVAPQ-UHFFFAOYSA-N,17.531478917042254,meta37-model
HGINCPLSRVDWNT-UHFFFAOYSA-N,2.225530592157157,GuthrieSolv-reconciled
CLWAXFZCVYJLLM-UHFFFAOYSA-N,-4.02213313811143,GuthrieSolv-reconciled
HKAPXAUCGXXUEA-UHFFFAOYSA-N,1.8986076996558785,GuthrieSolv-reconciled
HKDCIIMOALDWHF-UHFFFAOYSA-N,-3.0757544761626865,GuthrieSolv-reconciled
SUBRHHYLRGOTHL-UHFFFAOYSA-N,2.1135925368734085,GuthrieSolv-reconciled
CYRHBNRLQMLULE-UHFFFAOYSA-N,5.9084850188786495,meta37-model
RXUSYFJGDZFVND-UHFFFAOYSA-N,6.230448921378274,meta37-model
WVLBCYQITXONBZ-UHFFFAOYSA-N,6.256290657169003,GuthrieSolv-reconciled
FDAYLTPAFBGXAB-UHFFFAOYSA-N,3.113943352306837,meta37-model
IBYHHJPAARCAIE-UHFFFAOYSA-N,1.368239842102625,GuthrieSolv-reconciled
YNTOKMNHRPSGFU-UHFFFAOYSA-N,5.3979400086720375,meta37-model
QAIPRVGONGVQAS-UHFFFAOYSA-N,14.230448921378274,meta37-model
LBVDHZOJOFOXJM-UHFFFAOYSA-N,-6.698970004336019,meta37-model
ANUCHZVCBDOPOX-UHFFFAOYSA-N,7.113943352306837,meta37-model
MWPLVEDNUUSJAV-UHFFFAOYSA-N,3.004997039922906,GuthrieSolv-reconciled
RIOXQFHNBCKOKP-UHFFFAOYSA-N,9.522917681063532,GuthrieSolv-reconciled
IHIDFKLAWYPTKB-UHFFFAOYSA-N,2.0350217018401047,GuthrieSolv-reconciled
MTCFGRXMJLQNBG-UHFFFAOYSA-N,13.991226075692497,meta37-model
DGBIGWXXNGSACT-UHFFFAOYSA-N,10.544068044350276,meta37-model
PURSZYWBIQIANP-UHFFFAOYSA-N,1.6812412373755872,meta37-model
SVONRAPFKPVNKG-UHFFFAOYSA-N,3.6638100762440606,GuthrieSolv-reconciled
TUGYIJVAYAHHHM-UHFFFAOYSA-N,6.230448921378274,meta37-model
MKUXAQIIEYXACX-UHFFFAOYSA-N,19.88081359228079,meta37-model
OFCNXPDARWKPPY-UHFFFAOYSA-N,12.079181246047623,meta37-model
BSFZSQRJGZHMMV-UHFFFAOYSA-N,1.4771212547196624,meta37-model
TZBPRYIIJAJUOY-UHFFFAOYSA-N,2.8595283336268023,GuthrieSolv-reconciled
WURBVZBTWMNKQT-UHFFFAOYSA-N,8.371168816792785,GuthrieSolv-reconciled
CMVQZRLQEOAYSW-UHFFFAOYSA-N,3.3010299956639813,meta37-model
JGEGJYXHCFUMJF-UHFFFAOYSA-N,1.4854150704773035,GuthrieSolv-reconciled
FVHAWXWFPBPFOS-UHFFFAOYSA-N,2.681241237375587,meta37-model
JXHJNEJVUNHLKO-UHFFFAOYSA-N,4.12183070677896,GuthrieSolv-reconciled
QCFYJCYNJLBDRT-UHFFFAOYSA-N,2.641563811525698,GuthrieSolv-reconciled
AZXHAWRMEPZSSV-UHFFFAOYSA-N,2.234441189003846,GuthrieSolv-reconciled
ZXNBBWHRUSXUFZ-UHFFFAOYSA-N,2.8128915608845366,GuthrieSolv-reconciled
RURQAJURNPMSSK-QHCPKHFHSA-N,4.885638649692156,GuthrieSolv-reconciled
WENIXZFPXMQPQQ-UHFFFAOYSA-N,2.903089986991944,meta37-model
ZDWGXBPVPXVXMQ-UHFFFAOYSA-N,2.3010299956639813,meta37-model
VHVOLFRBFDOUSH-UHFFFAOYSA-N,-0.1674910872937636,meta37-model
